,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_ID,TEAM_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
0,200746,LaMarcus Aldridge,1610612759,Spurs,By Year,2010-11,1610612757,POR,2011-04-12T00:00:00,81,48,33,0.593,3211.4216666666666,707,1415,0.5,4,23,0.174,351,444,0.791,278,431,709,170,153,82,94,54,220,397,1769,286,3249.8,36,0,1,5,10,8,1,1,2,6,8,7,10,1,1,10,1,7,4,4,1,1,2,14,12,1,1,5,1,4,1,264,2010-11
1,202329,Al-Farouq Aminu,1610612753,Magic,By Year,2010-11,1610612746,LAC,2011-04-13T00:00:00,81,31,50,0.383,1451.835,160,406,0.394,45,143,0.315,92,119,0.773,75,192,267,60,103,59,25,37,121,92,457,-184,1016.4,0,0,2,7,9,8,8,7,7,8,5,5,5,5,6,2,9,9,9,8,3,8,9,7,3,8,7,9,9,10,1,264,2010-11
2,2546,Carmelo Anthony,1610612757,Trail Blazers,By Year,2010-11,-1,TOT,2011-04-12T00:00:00,77,43,34,0.558,2751.25,684,1503,0.455,95,251,0.378,507,605,0.838,118,445,563,221,206,68,46,108,224,422,1970,187,3113.1,18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2010-11
3,2772,Trevor Ariza,1610612757,Trail Blazers,By Year,2010-11,1610612740,NOH,2011-04-13T00:00:00,75,43,32,0.573,2599.8483333333334,303,762,0.398,82,271,0.303,138,197,0.701,61,347,408,162,118,120,31,43,180,157,826,9,1893.6,3,0,7,5,16,8,6,6,6,17,8,8,16,3,2,13,8,4,4,7,4,7,2,18,19,3,6,11,6,4,2,264,2010-11
4,201571,D.J. Augustin,1610612753,Magic,By Year,2010-11,1610612766,CHA,2011-04-13T00:00:00,82,34,48,0.415,2757.095,399,958,0.416,111,333,0.333,269,297,0.906,38,187,225,498,155,54,3,81,152,232,1178,-256,2211.0,7,0,1,5,13,10,1,1,1,6,4,1,13,1,1,2,2,1,1,1,1,1,3,15,15,1,1,13,1,1,1,264,2010-11
5,200826,J.J. Barea,1610612742,Mavericks,By Year,2010-11,1610612742,DAL,2011-04-13T00:00:00,81,56,25,0.691,1668.9666666666667,285,649,0.439,66,189,0.349,133,157,0.847,29,130,159,317,136,30,1,43,136,196,769,156,1392.3,3,0,1,1,6,2,2,4,5,4,5,5,9,1,1,3,3,5,4,2,3,6,6,11,14,1,4,1,4,3,2,264,2010-11
6,201587,Nicolas Batum,1610612766,Hornets,By Year,2010-11,1610612757,POR,2011-04-12T00:00:00,80,47,33,0.588,2521.846666666667,367,807,0.455,118,342,0.345,138,164,0.841,109,252,361,123,83,68,49,41,194,188,990,49,1875.7,6,0,2,3,8,5,4,4,5,3,5,5,8,5,5,8,2,7,7,8,9,6,4,12,12,2,5,7,6,6,6,264,2010-11
7,201158,Marco Belinelli,1610612759,Spurs,By Year,2010-11,1610612740,NOH,2011-04-13T00:00:00,80,44,36,0.55,1957.1616666666666,302,691,0.437,134,324,0.414,98,125,0.784,17,134,151,92,77,38,6,26,146,128,836,85,1210.2,0,0,1,3,9,5,3,2,2,4,2,2,2,9,6,11,4,5,6,9,4,7,5,12,14,4,2,3,5,4,1,264,2010-11
8,202339,Eric Bledsoe,1610612749,Bucks,By Year,2010-11,1610612746,LAC,2011-04-13T00:00:00,81,32,49,0.395,1840.5333333333333,206,486,0.424,32,116,0.276,99,133,0.744,68,155,223,289,194,92,26,34,130,125,543,-219,1404.1,1,0,1,6,11,8,5,9,9,9,8,8,10,9,9,10,4,7,7,6,4,5,6,5,7,9,9,11,8,9,5,264,2010-11
9,202340,Avery Bradley,1610612747,Lakers,By Year,2010-11,1610612738,BOS,2011-04-13T00:00:00,31,21,10,0.677,162.49,23,67,0.343,0,5,0.0,6,12,0.5,4,13,17,12,16,9,0,7,20,11,52,-56,101.4,0,0,10,8,3,3,12,12,11,12,12,12,12,11,11,12,11,12,12,11,11,11,11,2,2,11,12,8,12,4,1,264,2010-11
10,201147,Corey Brewer,1610612758,Kings,By Year,2010-11,-1,TOT,2011-04-13T00:00:00,69,22,47,0.319,1510.4233333333334,193,488,0.395,30,112,0.268,136,192,0.708,57,118,175,89,87,100,16,31,159,158,552,-130,1156.5,0,0,4,4,5,5,2,2,2,5,3,3,4,2,2,5,2,3,2,3,2,2,3,4,4,2,2,5,2,2,1,264,2010-11
